,Name,Identity,Alignment,Eyes,Hair,Sex,Alive,Appearances,First_appeared,Planet,Universe,Appearances Bins
755,Underhand,Secret,Bad,Blue,Black,Male,Yes,3,Nov/2009,New Earth,DC,<10
764,Elizabeth Alderman,Public,Bad,Black,Black,Female,No,19,Sep/1991,New Earth,DC,<100
767,Artemis Freeker,Secret,Bad,Blue,Brown,Male,Yes,3,Feb/1997,New Earth,DC,<10
768,Marcie Cooper,Secret,Bad,Blue,Blond,Female,Yes,15,May/1985,New Earth,DC,<100
774,Oberon Sexton,Public,Bad,Brown,White,Male,Yes,2,Aug/2010,New Earth,DC,<10
775,Carl Sands,Secret,Bad,Brown,Black,Male,Yes,73,Jul/1961,New Earth,DC,<100
777,Roger Goldman,Secret,Bad,Brown,Brown,Male,No,4,Apr/1993,New Earth,DC,<10
784,Joan Ng,Public,Bad,Brown,Brown,Female,Yes,1,Mar/2011,New Earth,DC,<10
805,Carl Hammer,Public,Bad,Black,Black,Male,Yes,1,Feb/1985,New Earth,DC,<10
807,Jackanapes,Secret,Bad,Brown,Black,Male,Yes,3,Jul/2007,New Earth,DC,<10
808,Dela Pharon,Secret,Bad,Green,Blond,Female,Yes,5,Dec/1965,New Earth,DC,<10
814,Claudio Volpe,Public,Bad,Brown,Blond,Male,Yes,4,Aug/1998,New Earth,DC,<10
819,Mzzttexxal,Secret,Bad,Brown,Grey,Female,Yes,12,Feb/1985,New Earth,DC,<100
828,Sitra,Secret,Bad,Green,Brown,Female,No,1,Jan/2006,New Earth,DC,<10
833,Z-1,Public,Bad,Yellow,Brown,Male,Yes,4,May/1963,New Earth,DC,<10
835,Fred Bentson,Secret,Bad,Blue,Blond,Male,Yes,14,Jul/1994,New Earth,DC,<100
838,Jack of Clubs IV,Secret,Bad,Brown,Black,Male,Yes,1,Oct/2010,New Earth,DC,<10
843,William Walsh,Secret,Bad,Brown,Brown,Male,No,10,Jul/1984,New Earth,DC,<10
847,Notional Man,Public,Bad,White,White,Male,Yes,2,Nov/1990,New Earth,DC,<10
854,Nicholas Pierce,Secret,Bad,Black,Red,Male,Yes,1,Oct/2011,New Earth,DC,<10
859,Venev,Secret,Bad,Brown,White,Female,No,8,Aug/1993,New Earth,DC,<10
880,Diro Yat,Public,Bad,Black,Black,Male,Yes,7,Jan/2008,New Earth,DC,<10
899,Holocaust,Public,Bad,Grey,Grey,Male,Yes,1,Mar/1988,New Earth,DC,<10
904,Lord of Limbo,Unknown,Bad,Red,Brown,Male,Yes,2,Apr/1980,Earth-One,DC,<10
918,Anubis of the Dogpound,Public,Bad,Blue,No,Male,Yes,10,Sep/2008,New Earth,DC,<10
923,Cambodian,Secret,Bad,Blue,Brown,Male,Yes,6,Sep/1987,New Earth,DC,<10
926,Spin Doctor I,Secret,Bad,Blue,Red,Male,No,2,Nov/2006,New Earth,DC,<10
937,Takeo Yamashiro,Secret,Bad,Pink,Black,Male,No,6,Apr/1984,New Earth,DC,<10
963,Dennis Blake,Public,Bad,Blue,Blond,Male,No,10,Oct/1988,New Earth,DC,<10
967,Felix Faust,Secret,Bad,Brown,Black,Male,Yes,95,Mar/1962,New Earth,DC,<100
972,Lee Carver,Secret,Bad,Hazel,Brown,Male,Yes,3,Apr/1968,New Earth,DC,<10
977,Ivan Illyich Gort,Secret,Bad,Blue,Black,Male,Yes,19,Jan/1988,New Earth,DC,<100
994,Miss Fear,Public,Bad,Brown,Black,Female,Yes,4,Oct/1998,New Earth,DC,<10
999,Prince Aquamarine,Public,Bad,Brown,Brown,Male,Yes,1,Mar/1985,New Earth,DC,<10
1009,Plutonium,Secret,Bad,Photocellular,Bald,Male,Yes,1,Jul/1963,New Earth,DC,<10
1034,Janwillem Kroef,Public,Bad,Brown,White,Male,Yes,15,Jan/1988,New Earth,DC,<100
1044,Prudence Wood,Secret,Bad,Yellow,Grey,Female,Yes,13,Aug/2009,New Earth,DC,<100
1050,Rockface,Secret,Bad,White,No,Male,Yes,4,Jun/1994,New Earth,DC,<10
1060,Chill,Secret,Bad,Purple,Black,Male,No,7,Feb/2008,New Earth,DC,<10
1073,Peter Hayes,Public,Bad,Brown,Brown,Male,Yes,5,Aug/2010,New Earth,DC,<10
1092,Edwardo Guzman,Public,Bad,Blue,Black,Male,No,4,Apr/1992,New Earth,DC,<10
1094,Herbert Hynde,Public,Bad,Red,Grey,Male,Yes,8,Nov/1983,New Earth,DC,<10
1099,Acolyte,Secret,Bad,Red,Blue,Male,Yes,2,Jun/1999,New Earth,DC,<10
1133,Electrocutioner II,Secret,Bad,Blue,Brown,Male,Yes,1,Feb/1991,New Earth,DC,<10
1136,Mister Smith,Secret,Bad,Brown,Black,Male,Yes,11,Apr/1984,New Earth,DC,<100
1141,Ace of Diamonds II,Secret,Bad,White,Black,Male,Yes,2,Oct/2009,New Earth,DC,<10
1144,Zazzala,Secret,Bad,Blue,Black,Female,Yes,28,Nov/1963,New Earth,DC,<100
1145,Mrs. Gradenko,Public,Bad,Blue,Grey,Female,Yes,4,Jun/1991,New Earth,DC,<10
1146,Skallox,Public,Bad,Yellow,No,Male,Yes,39,Dec/2008,New Earth,DC,<100
1156,Ixion,Public,Bad,Red,Green,Male,No,4,Dec/1988,New Earth,DC,<10
1165,Zombie,Secret,Bad,Brown,Red,Male,Yes,20,Jan/1993,New Earth,DC,<100
1168,Daniel Rogers,Secret,Bad,Black,Brown,Male,Yes,4,May/2011,New Earth,DC,<10
1169,Lyssa Drak,Public,Bad,Red,Black,Female,Yes,27,May/2007,New Earth,DC,<100
1184,Sterling Fry,Public,Bad,White,Black,Male,Yes,1,Mar/2008,New Earth,DC,<10
1186,Dale Smith,Secret,Bad,Brown,Brown,Male,Yes,1,Nov/2007,New Earth,DC,<10
1189,Zhang Xiaomei,Secret,Bad,White,Black,Female,Yes,2,Oct/2005,New Earth,DC,<10
1194,Micro,Secret,Bad,Gold,Black,Male,Yes,2,Oct/2007,New Earth,DC,<10
1204,Rena,Non-dual,Bad,Brown,Black,Female,Yes,4,Sep/2007,New Earth,DC,<10
1206,Carla Moretti,Secret,Bad,Brown,Brown,Female,No,17,Jul/2010,New Earth,DC,<100
1233,Julian Day,Secret,Bad,Black,No,Male,Yes,32,Sep/1958,New Earth,DC,<100
1247,Nina Damfino,Secret,Bad,Black,Black,Female,Yes,9,Jan/1995,New Earth,DC,<10
1248,Kylstar,Non-dual,Bad,Yellow,Grey,Male,Yes,1,Oct/1990,New Earth,DC,<10
1255,Phoney Baloney,Secret,Bad,Blue,Black,Male,No,3,Aug/2009,New Earth,DC,<10
1259,Warren Lawford,Secret,Bad,Brown,White,Male,Yes,9,Mar/1958,New Earth,DC,<10
1260,Overman,Secret,Bad,Blue,Black,Male,Yes,3,May/1990,Unknown,DC,<10
1269,Black Assassin,Secret,Bad,Brown,Brown,Male,No,2,Apr/1982,Earth-Two,DC,<10
1294,Eva Green,Secret,Bad,Blue,Blond,Female,Yes,2,Nov/1996,New Earth,DC,<10
1297,Firepower,Secret,Bad,Brown,Blond,Male,Yes,1,May/1994,New Earth,DC,<10
1303,Arnold Pruett,Secret,Bad,Red,Red,Male,Yes,20,Jul/1984,New Earth,DC,<100
1306,Rott,Public,Bad,Red,Black,Male,Yes,1,Apr/1992,New Earth,DC,<10
1330,Ruth Spencer,Secret,Bad,Brown,Black,Female,Yes,5,Jan/1990,New Earth,DC,<10
1336,Mimic,Secret,Bad,Brown,Black,Male,Yes,3,Feb/2011,New Earth,DC,<10
1341,Black-Cloud-In-Morning,Secret,Bad,Brown,Black,Male,No,12,Jun/1982,New Earth,DC,<100
1346,Mirabai,Public,Bad,Blue,Brown,Female,Yes,7,Jul/2009,New Earth,DC,<10
1347,Citizen Abra,Secret,Bad,Blue,Black,Male,Yes,92,May/1962,New Earth,DC,<100
1353,Kent Connor,Secret,Bad,Black,Black,Male,No,22,Jan/1997,New Earth,DC,<100
1356,Hilt,Secret,Bad,Blue,Blond,Male,Yes,1,May/2011,New Earth,DC,<10
1358,Brunt,Secret,Bad,Blue,Black,Male,No,6,Jul/2009,New Earth,DC,<10
1359,Darius Tiko,Secret,Bad,Red,Bald,Male,Yes,2,Nov/1958,New Earth,DC,<10
1363,Tapeworm,Secret,Bad,Black,Black,Male,Yes,13,Jan/2006,New Earth,DC,<100
1385,Aluminum,Secret,Bad,Photocellular,Brown,Male,Yes,1,Jul/1963,New Earth,DC,<10
1392,Sheeva,Public,Bad,Green,Blue,Female,Yes,10,Dec/1998,New Earth,DC,<10
1401,Eight of Hearts I,Secret,Bad,Blue,Blond,Female,No,1,Oct/2009,New Earth,DC,<10
1402,Bloodtype,Secret,Bad,Purple,No,Male,No,1,Aug/1996,New Earth,DC,<10
1403,Aleister Golden,Public,Bad,Black,Blond,Male,Yes,3,Jan/2011,New Earth,DC,<10
1404,Aurora,Public,Bad,Blue,Black,Female,Yes,1,Nov/1983,Earth-One,DC,<10
1405,Cyborg-87,Public,Bad,Blue,Grey,Unknown,Yes,1,Apr/1989,New Earth,DC,<10
1408,Brian Elliot,Public,Bad,Blue,Blond,Male,Yes,6,May/1993,New Earth,DC,<10
1411,Big Don Drummond,Secret,Bad,Brown,Brown,Male,Yes,1,Aug/2009,New Earth,DC,<10
1412,Metamorpheus,Secret,Bad,Blue,Brown,Male,No,5,Apr/1992,New Earth,DC,<10
1413,Bradford Sackett,Public,Bad,Black,Brown,Male,Yes,4,Dec/1997,New Earth,DC,<10
1414,Branden,Secret,Bad,Blue,Brown,Male,No,6,Mar/1987,New Earth,DC,<10
1427,Phantasm II,Public,Bad,Blue,Brown,Unknown,No,21,Mar/1992,New Earth,DC,<100
1443,Jack of Hearts I,Secret,Bad,Brown,Black,Male,Yes,1,Feb/2002,New Earth,DC,<10
1450,Duel Eknham,Public,Bad,Grey,Black,Male,No,8,Jun/2008,New Earth,DC,<10
1460,Actuary,Secret,Bad,Black,White,Male,Yes,3,Mar/1995,New Earth,DC,<10
1471,Deadline,Secret,Bad,Brown,Blond,Male,Yes,32,Oct/1989,New Earth,DC,<100
1477,Natalia Dzerchenko,Public,Bad,Brown,Brown,Female,Yes,21,Dec/1993,New Earth,DC,<100
1485,Deuce Canyard,Public,Bad,Blue,Blond,Male,No,4,Oct/2005,New Earth,DC,<10
1519,John Williamson,Public,Bad,Blue,Black,Male,Yes,6,Oct/2004,New Earth,DC,<10
1528,Baby Boom,Secret,Bad,Brown,Blond,Female,Yes,10,Aug/1985,New Earth,DC,<10
1534,Pom Pom Girl,Secret,Bad,Black,Blond,Female,Yes,1,May/1998,New Earth,DC,<10
1535,George Barrow,Secret,Bad,White,Black,Male,No,2,Sep/1978,New Earth,DC,<10
1540,Antiphon,Secret,Bad,Blue,Blond,Male,Yes,2,Sep/2002,New Earth,DC,<10
1546,Lutefisk,Secret,Bad,Violet,Black,Male,Yes,2,Apr/1993,New Earth,DC,<10
1547,Manuel Carlito,Public,Bad,Black,Brown,Male,Yes,2,May/2011,New Earth,DC,<10
1554,Whiteout,Secret,Bad,White,White,Male,Yes,5,Jun/1986,New Earth,DC,<10
1556,Bixby Rhodes,Public,Bad,Black,Black,Male,Yes,2,Jun/2011,New Earth,DC,<10
1566,Mentor the Magnificent,Public,Bad,Brown,Brown,Male,Yes,1,Aug/1965,Earth-Four,DC,<10
1570,Napalm I,Secret,Bad,Blue,Red,Male,Yes,3,Jun/1993,New Earth,DC,<10
1572,Mole,Secret,Bad,White,Brown,Male,Yes,3,Aug/1982,New Earth,DC,<10
1581,Minerva,Secret,Bad,Brown,Brown,Female,Yes,3,Dec/1996,New Earth,DC,<10
1583,Dagon-Ra,Public,Bad,Blue,White,Male,No,5,May/1990,New Earth,DC,<10
1586,Zephyr,Secret,Bad,Green,Red,Female,Yes,2,Mar/1994,New Earth,DC,<10
1587,Jiv Reduu,Public,Bad,Blue,Black,Male,No,2,Aug/1991,New Earth,DC,<10
1589,Carmine Falcone,Public,Bad,Brown,White,Male,No,24,Feb/1987,New Earth,DC,<100
1593,Birgit Eisenmann,Public,Bad,One,Black,Female,No,3,Nov/1991,New Earth,DC,<10
1605,Holly Green,Secret,Bad,Blue,Blond,Female,Yes,2,Nov/1996,New Earth,DC,<10
1609,Gangly Man,Secret,Bad,Green,Brown,Male,Yes,5,Jun/2008,New Earth,DC,<10
1611,Guilt,Secret,Bad,Green,Blue,Genderless,Yes,1,Jul/2005,New Earth,DC,<10
1617,Uxas,Public,Bad,Red,Brown,Male,No,388,Dec/1970,New Earth,DC,<500
1623,Rose Beryl,Secret,Bad,Blue,Red,Female,Yes,1,Dec/1987,New Earth,DC,<10
1624,Hardknox,Secret,Bad,Brown,Black,Male,Yes,1,Dec/1993,New Earth,DC,<10
1641,William Dawson,Public,Bad,Red,Black,Male,Yes,2,Mar/1962,New Earth,DC,<10
1668,Isaac Bowin,Secret,Bad,Blue,Blond,Male,No,68,Jan/1948,New Earth,DC,<100
1677,Lyana,Public,Bad,Brown,Black,Female,Yes,1,Sep/1991,New Earth,DC,<10
1693,Albert Desmond,Secret,Bad,Green,Red,Male,Yes,65,Apr/1958,New Earth,DC,<100
1699,Mister Whisper,Secret,Bad,Blue,Black,Male,No,5,Apr/1990,New Earth,DC,<10
1707,Veil,Secret,Bad,Yellow,Blond,Male,Yes,1,Jan/1989,New Earth,DC,<10
1711,Worla,Public,Bad,Brown,Black,Male,Yes,5,May/1946,New Earth,DC,<10
1721,Blake,Public,Bad,Black,Brown,Male,Yes,2,Oct/2009,New Earth,DC,<10
1731,Thunderer,Public,Bad,Brown,Brown,Male,Yes,4,Oct/1967,New Earth,DC,<10
1732,Brain-Bandit,Secret,Bad,Green,Red,Male,Yes,2,Mar/1994,New Earth,DC,<10
1737,Theodore Gaynor,Public,Bad,Green,Blond,Male,No,10,Jan/1984,New Earth,DC,<10
1739,Lucia Viti,Public,Bad,Blue,Brown,Female,No,2,Dec/1999,New Earth,DC,<10
1755,Chun Yull,Secret,Bad,Red,Blond,Male,Yes,20,Jan/1961,New Earth,DC,<100
1760,Deborah Morgna,Secret,Bad,Green,Red,Female,Yes,7,Mar/2007,New Earth,DC,<10
1765,Oblivion,Public,Bad,Blue,Brown,Female,Yes,10,Jan/1999,New Earth,DC,<10
1776,Chester Runk,Public,Bad,Brown,Black,Male,Yes,32,Feb/1988,New Earth,DC,<100
1777,Joseph Coyne,Public,Bad,Brown,Blond,Male,No,4,Sep/1947,New Earth,DC,<10
1788,Andrew McFee,Secret,Bad,Brown,Red,Male,No,1,Oct/1997,New Earth,DC,<10
1793,Blaze,Secret,Bad,Red,Black,Female,Yes,49,Jul/1990,New Earth,DC,<100
1796,Adder,Secret,Bad,Brown,Bald,Male,No,1,Jul/1998,New Earth,DC,<10
1805,Electrocutioner I,Secret,Bad,Brown,Red,Male,No,14,Jan/1981,New Earth,DC,<100
1809,Syonide I,Secret,Bad,Blue,Blond,Male,Yes,5,Jul/1977,New Earth,DC,<10
1813,Wanda Wayland,Public,Bad,Brown,Blond,Female,Yes,30,Jun/1982,New Earth,DC,<100
1822,Familiar,Public,Bad,Brown,Blond,Female,Yes,1,Sep/1981,New Earth,DC,<10
1840,Enrico Inzerillo,Public,Bad,Brown,Grey,Male,Yes,3,Jun/2000,New Earth,DC,<10
1842,William Bruce Smith,Public,Bad,Black,Black,Male,Yes,3,Feb/1999,New Earth,DC,<10
1843,Mongal,Public,Bad,Red,Brown,Female,No,11,Sep/1995,New Earth,DC,<100
1849,Lazlo Valentin,Public,Bad,Brown,Brown,Male,Yes,7,Jul/2007,New Earth,DC,<10
1850,Rosie,Secret,Bad,Blue,Red,Female,No,11,May/1984,New Earth,DC,<100
1863,Mink,Secret,Bad,Brown,Black,Male,No,1,Apr/1996,New Earth,DC,<10
1885,Starro,Public,Bad,Black,No,Male,Yes,74,Mar/1960,New Earth,DC,<100
1886,John LaMonica,Secret,Bad,Brown,Black,Male,No,6,May/1995,New Earth,DC,<10
1901,Peter Merkel,Secret,Bad,Brown,Red,Male,No,33,Dec/1942,New Earth,DC,<100
1907,Arak Wind-Walker,Secret,Bad,Yellow,Black,Male,No,11,Aug/1985,New Earth,DC,<100
1916,Brains II,Public,Bad,Black,Blond,Female,Yes,4,Feb/1983,New Earth,DC,<10
1921,Crazytop,Secret,Bad,Brown,Brown,Male,Yes,1,Jan/1999,New Earth,DC,<10
1925,Albert Michaels,Secret,Bad,Blue,Blond,Male,Yes,23,May/1978,New Earth,DC,<100
1927,Skull,Secret,Bad,Green,Black,Male,No,4,Aug/1998,New Earth,DC,<10
1939,Hildy Park,Public,Bad,Blue,Black,Female,Yes,1,Nov/1978,New Earth,DC,<10
1949,Leroy,Secret,Bad,Green,Black,Male,Yes,7,Feb/2003,New Earth,DC,<10
